Country,Fertility,GDP
Australia,1.77,43000.0
Israel,2.62,34900.0
Slovenia,1.33,27400.0
Monaco,1.52,65500.0
New Zealand,2.05,30400.0
Italy,1.42,29600.0
Belgium,1.65,37800.0
Switzerland,1.54,46000.0
Singapore,0.8,62400.0
Malta,1.54,27500.0
Luxembourg,1.77,77900.0
Japan,1.4,37100.0
Ireland,2.0,41300.0
Taiwan,1.11,39600.0
Czech Republic,1.43,26300.0
Andorra,1.38,37200.0
Spain,1.48,30100.0
Faroe Islands,2.38,30500.0
Sweden,1.88,40900.0
San Marino,1.49,0.0
South Africa,2.23,11500.0
Greece,1.41,23600.0
United Kingdom,1.9,37300.0
Turkey,2.08,15300.0
Canada,1.59,43100.0
Netherlands,1.78,41400.0
Jersey,1.66,57000.0
Germany,1.43,39500.0
Bermuda,1.95,86000.0
Guernsey,1.55,44600.0
Austria,1.43,42600.0
Finland,1.73,35900.0
Cyprus,1.46,24500.0
Iceland,1.88,40700.0
South Korea,1.25,33200.0
Liechtenstein,1.69,89400.0
Denmark,1.73,37800.0
France,2.08,35700.0
Hong Kong,1.17,52700.0
Portugal,1.52,22900.0
Norway,1.86,55400.0
United States,2.01,52800.0
