Niger,6.89
Mali,6.16
Burundi,6.14
Somalia,6.08
Uganda,5.97
Burkina Faso,5.93
Zambia,5.76
Malawi,5.66
Afghanistan,5.43
Angola,5.43
South Sudan,5.43
Mozambique,5.27
Nigeria,5.25
Ethiopia,5.23
Timor-Leste,5.11
Benin,5.04
Tanzania,4.95
Guinea,4.93
Sierra Leone,4.83
Cameroon,4.82
Liberia,4.81
Congo, Democratic Republic of the,4.8
Congo, Republic of the,4.73
Chad,4.68
Sao Tome and Principe,4.67
Equatorial Guinea,4.66
Rwanda,4.62
Togo,4.53
Senegal,4.52
Gabon,4.49
Central African Republic,4.46
Guinea-Bissau,4.3
Madagascar,4.28
Gaza Strip,4.24
Eritrea,4.14
Yemen,4.09
Ghana,4.09
Western Sahara,4.07
Mauritania,4.07
Sudan,3.92
Gambia, The,3.85
Comoros,3.76
Cote d'Ivoire,3.63
Zimbabwe,3.56
Kenya,3.54
Iraq,3.41
Solomon Islands,3.36
Tonga,3.36
Vanuatu,3.36
Papua New Guinea,3.24
Marshall Islands,3.22
Jordan,3.16
Philippines,3.06
Tuvalu,3.03
Belize,3.02
Guatemala,2.99
American Samoa,2.98
Samoa,2.94
Nauru,2.93
Laos,2.9
Swaziland,2.88
Egypt,2.87
Oman,2.86
Honduras,2.86
Pakistan,2.86
West Bank,2.83
Bolivia,2.8
Haiti,2.79
Algeria,2.78
Lesotho,2.78
Tajikistan,2.76
Syria,2.68
Kyrgyzstan,2.68
Cambodia,2.66
Israel,2.62
Malaysia,2.58
Kiribati,2.56
Micronesia, Federated States of,2.55
Kuwait,2.53
India,2.51
Fiji,2.51
Djibouti,2.47
Bangladesh,2.45
Panama,2.38
Faroe Islands,2.38
Guam,2.38
Botswana,2.37
United Arab Emirates,2.36
Dominican Republic,2.36
Venezuela,2.35
Cabo Verde,2.34
Kazakhstan,2.34
Nepal,2.3
Ecuador,2.29
Mexico,2.29
Cook Islands,2.27
Argentina,2.25
Namibia,2.25
South Africa,2.23
Mongolia,2.22
Peru,2.22
Burma,2.18
Indonesia,2.18
Saudi Arabia,2.17
Morocco,2.15
Guyana,2.14
Sri Lanka,2.13
Turkmenistan,2.1
Grenada,2.09
Sint Maarten,2.09
Curacao,2.09
France,2.08
Turkey,2.08
Libya,2.07
Colombia,2.07
Greenland,2.06
New Zealand,2.05
Jamaica,2.05
Dominica,2.05
Antigua and Barbuda,2.03
Bhutan,2.02
Northern Mariana Islands,2.01
United States,2.01
Suriname,2.01
Ireland,2.0
Tunisia,2.0
New Caledonia,1.99
Nicaragua,1.99
Korea, North,1.98
Bahamas, The,1.97
Paraguay,1.96
French Polynesia,1.95
El Salvador,1.95
Bermuda,1.95
Isle of Man,1.94
Qatar,1.92
Gibraltar,1.92
Costa Rica,1.91
Azerbaijan,1.91
United Kingdom,1.9
Seychelles,1.88
Iceland,1.88
Sweden,1.88
Cayman Islands,1.86
Norway,1.86
Iran,1.85
Vietnam,1.85
Uruguay,1.84
Chile,1.84
Aruba,1.84
Saint Vincent and the Grenadines,1.84
Brunei,1.82
Bahrain,1.81
Uzbekistan,1.8
Brazil,1.79
Saint Kitts and Nevis,1.78
Netherlands,1.78
Luxembourg,1.77
Mauritius,1.77
Georgia,1.77
Australia,1.77
Saint Lucia,1.77
Maldives,1.76
Wallis and Futuna,1.76
Anguilla,1.75
Virgin Islands,1.75
Lebanon,1.74
Finland,1.73
Denmark,1.73
Trinidad and Tobago,1.71
Palau,1.71
Turks and Caicos Islands,1.7
Liechtenstein,1.69
Barbados,1.68
Jersey,1.66
Belgium,1.65
Armenia,1.64
Puerto Rico,1.64
Russia,1.61
Canada,1.59
Macedonia,1.59
Saint Helena, Ascension, and Tristan da Cunha,1.58
Saint Pierre and Miquelon,1.56
Moldova,1.56
Guernsey,1.55
China,1.55
Switzerland,1.54
Malta,1.54
Portugal,1.52
Monaco,1.52
Albania,1.5
Thailand,1.5
San Marino,1.49
Spain,1.48
Belarus,1.47
Cuba,1.46
Estonia,1.46
Cyprus,1.46
Croatia,1.45
Bulgaria,1.44
Austria,1.43
Germany,1.43
Czech Republic,1.43
Serbia,1.42
Italy,1.42
Hungary,1.42
Greece,1.41
Japan,1.4
Slovakia,1.39
Andorra,1.38
Latvia,1.35
Slovenia,1.33
Poland,1.33
Romania,1.32
Ukraine,1.3
Montserrat,1.29
Lithuania,1.29
Bosnia and Herzegovina,1.26
British Virgin Islands,1.25
Korea, South,1.25
Hong Kong,1.17
Taiwan,1.11
Macau,0.93
Singapore,0.8
Cocos (Keeling) Islands,-9.0
Christmas Island,-9.0
Niue,-9.0
Tokelau,-9.0
Pitcairn Islands,-9.0
Svalbard,-9.0
Norfolk Island,-9.0
